가와가현,가가와현
가대가소,가가대소
가문가전,가가문전
가붓자가식,가가붓자식
가성가자,가가성자
가호가호,가가호호
가집간물,가간집물
가부감득,가감부득
가승감제,가감승제
가승감합제,가감승합제
가역감관,가감역관
가은감휘,가감은휘
가죄감례,가감죄례
가지감인,가감지인
가합감제,가감합제
가시갸절,가갸시절
가지거지,가거지지
가밋거게과,가게거밋과
가내게기,가게내기
가쟁게이,가게쟁이
가계획격화,가격계획화
가균격형,가격균형
가기격준,가격기준
가소격구,가격소구
가시격점,가격시점
가정제격학,가격제정학
가종격류,가격종류
가차격금,가격차금
가투격쟁,가격투쟁
가차편격금,가격편차금
가부계기,가계부기
가림계추법,가계추림법
가문고적,가고문적
가문고헌,가고문헌
가시고마,가고시마
가마고시현,가고시마현
가원곡류,가곡원류
가라골비,가골라비
가가공소,가공가소
가덧공살,가공덧살
가선공라로,가공라선로
가망공상,가공망상
가모공선,가공모선
가스공레,가공스레
가식공품,가공식품
가영공사,가공영사
가인공물,가공인물
가절공목,가공절목
가종공이,가공종이
가중공심,가공중심
가중심공반,가공중심반
가창공고,가공창고
가스관레,가관스레
가절관증,가관절증
가봉교도,가교봉도
가경구행,가구경행
가장구이,가구장이
가재구이,가구재이
가적구간,가구적간
가혁구명,가구혁명
가지국회,가국지회
가가굴굴,가굴가굴
가노귀름,가귀노름
가대귀기,가귀대기
가뜨귀기,가귀뜨기
가인선귀기,가귀선인기
가랑그비,가그랑비
가무극용,가극무용
가문극학,가극문학
가찬극배,가극찬배
가혁극명,가극혁명
가공금학,가금공학
가기금계,가금기계
가단금독,가금단독
가목금장,가금목장
가인급족,가급인족
가스긍레,가긍스레
가스까로,가까스로
가갈운까래,가까운갈래
가운까조,가까운조
가기꾸체계,가꾸기체계
가가끔끔,가끔가끔
가가끔다,가끔가다
가끔다가가,가끔가다가
가가나와현,가나가와현
가다나라,가나다라
가다나순,가나다순
가차나다례,가나다차례
가다나표,가나다표
가안나어,가나안어
가안나족,가나안족
가오나나,가나오나
